Timestamp	Value
1998-01-01 00:00:01	2
1998-01-01 00:58:23	1
1998-01-01 02:40:58	0
1998-01-01 03:05:39	2
1998-01-01 03:22:15	3
1998-01-01 04:03:20	1
1998-01-01 04:31:54	0
1998-01-01 06:10:35	3
1998-01-01 07:52:11	0
1998-01-01 08:16:52	2
1998-01-01 08:48:34	3
1998-01-01 10:34:47	1
1998-01-01 11:43:23	3
1998-01-01 13:06:59	2
1998-01-01 14:01:45	0
1998-01-01 14:48:12	1
1998-01-01 15:49:34	3
1998-01-01 16:33:42	2
1998-01-01 17:06:22	0
1998-01-01 17:57:59	1
1998-01-01 18:20:32	2
1998-01-01 19:19:23	1
1998-01-01 20:08:56	0
1998-01-01 21:36:20	3
1998-01-01 22:06:58	0
1998-01-01 22:42:32	2
1998-01-01 23:54:39	1
1998-01-02 00:21:10	0
1998-01-02 01:31:34	3
1998-01-02 02:13:27	2
1998-01-02 02:43:57	1
1998-01-02 03:38:19	0
1998-01-02 04:19:58	3
1998-01-02 05:42:22	2
1998-01-02 06:17:53	1
1998-01-02 06:43:27	0
1998-01-02 07:16:19	3
1998-01-02 08:24:41	1
1998-01-02 08:59:15	2
1998-01-02 10:10:29	0
1998-01-02 10:51:54	3
1998-01-02 11:39:22	2
1998-01-02 12:29:37	0
1998-01-02 13:45:53	3
1998-01-02 14:40:36	2
1998-01-02 15:04:07	1
1998-01-02 15:53:32	0
1998-01-02 16:19:16	3
1998-01-02 16:44:52	1
1998-01-02 17:34:12	2
1998-01-02 18:14:38	0
1998-01-02 18:53:59	3
1998-01-02 19:43:23	2
1998-01-02 20:21:41	0
1998-01-02 21:27:54	3
1998-01-02 22:12:28	0
1998-01-02 22:53:51	1
1998-01-02 23:48:15	2
1998-01-03 00:34:39	0
1998-01-03 01:16:53	3
1998-01-03 02:04:19	1
1998-01-03 02:55:37	2
1998-01-03 03:34:58	0
1998-01-03 04:07:12	3
1998-01-03 05:22:38	2
1998-01-03 06:02:51	1
1998-01-03 06:57:19	0
1998-01-03 07:36:40	3
1998-01-03 08:32:03	1
1998-01-03 09:09:26	2
1998-01-03 10:20:51	0
1998-01-03 11:08:19	3
1998-01-03 11:54:42	1
1998-01-03 12:48:06	2
1998-01-03 13:22:27	0
1998-01-03 14:01:43	3
1998-01-03 14:52:59	2
1998-01-03 15:35:12	1
1998-01-03 16:25:28	0
1998-01-03 16:57:34	3
1998-01-03 17:44:47	2
1998-01-03 18:30:00	1
1998-01-03 19:14:17	0
1998-01-03 19:54:30	3
1998-01-03 20:46:43	2
1998-01-03 21:28:55	0
1998-01-03 22:44:04	3
1998-01-03 23:21:13	1
1998-01-03 23:58:21	2
1999-01-01 00:00:01	2
1999-01-01 00:58:23	1
1999-01-01 02:40:58	0
1999-01-01 03:05:39	2
1999-01-01 03:22:15	3
1999-01-01 04:03:20	1
1999-01-01 04:31:54	0
1999-01-01 06:10:35	3
1999-01-01 07:52:11	0
1999-01-01 08:16:52	2
1999-01-01 08:48:34	3
1999-01-01 10:34:47	1
1999-01-01 11:43:23	3
1999-01-01 13:06:59	2
1999-01-01 14:01:45	0
1999-01-01 14:48:12	1
1999-01-01 15:49:34	3
1999-01-01 16:33:42	2
1999-01-01 17:06:22	0
1999-01-01 17:57:59	1
1999-01-01 18:20:32	2
1999-01-01 19:19:23	1
1999-01-01 20:08:56	0
1999-01-01 21:36:20	3
1999-01-01 22:06:58	0
1999-01-01 22:42:32	2
1999-01-01 23:54:39	1
1999-01-02 00:21:10	0
1999-01-02 01:31:34	3
1999-01-02 02:13:27	2
1999-01-02 02:43:57	1
1999-01-02 03:38:19	0
1999-01-02 04:19:58	3
1999-01-02 05:42:22	2
1999-01-02 06:17:53	1
1999-01-02 06:43:27	0
1999-01-02 07:16:19	3
1999-01-02 08:24:41	1
1999-01-02 08:59:15	2
1999-01-02 10:10:29	0
1999-01-02 10:51:54	3
1999-01-02 11:39:22	2
1999-01-02 12:29:37	0
1999-01-02 13:45:53	3
1999-01-02 14:40:36	2
1999-01-02 15:04:07	1
1999-01-02 15:53:32	0
1999-01-02 16:19:16	3
1999-01-02 16:44:52	1
1999-01-02 17:34:12	2
1999-01-02 18:14:38	0
1999-01-02 18:53:59	3
1999-01-02 19:43:23	2
1999-01-02 20:21:41	0
1999-01-02 21:27:54	3
1999-01-02 22:12:28	0
1999-01-02 22:53:51	1
1999-01-02 23:48:15	2
1999-01-03 00:34:39	0
1999-01-03 01:16:53	3
1999-01-03 02:04:19	1
1999-01-03 02:55:37	2
1999-01-03 03:34:58	0
1999-01-03 04:07:12	3
1999-01-03 05:22:38	2
1999-01-03 06:02:51	1
1999-01-03 06:57:19	0
1999-01-03 07:36:40	3
1999-01-03 08:32:03	1
1999-01-03 09:09:26	2
1999-01-03 10:20:51	0
1999-01-03 11:08:19	3
1999-01-03 11:54:42	1
1999-01-03 12:48:06	2
1999-01-03 13:22:27	0
1999-01-03 14:01:43	3
1999-01-03 14:52:59	2
1999-01-03 15:35:12	1
1999-01-03 16:25:28	0
1999-01-03 16:57:34	3
1999-01-03 17:44:47	2
1999-01-03 18:30:00	1
1999-01-03 19:14:17	0
1999-01-03 19:54:30	3
1999-01-03 20:46:43	2
1999-01-03 21:28:55	0
1999-01-03 22:44:04	3
1999-01-03 23:21:13	1
1999-01-03 23:58:21	2
